kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
poly32,1048576,28,65536,400,2.432033e-04,1.362979e-05,275.9373,GFLOP/s
poly32,1048576,28,262144,400,2.422149e-04,1.102906e-05,277.0633,GFLOP/s
poly32,4194304,16,0,179,1.680000e-03,1.629096e-04,159.7830,GFLOP/s
poly32,4194304,16,4096,375,8.000566e-04,3.377652e-05,335.5206,GFLOP/s
poly32,4194304,16,16384,381,7.886896e-04,3.484680e-05,340.3563,GFLOP/s
poly32,4194304,16,65536,365,8.237243e-04,2.140630e-05,325.8802,GFLOP/s
poly32,4194304,16,262144,189,1.593510e-03,1.305851e-04,168.4555,GFLOP/s
poly32,4194304,28,0,289,1.040838e-03,6.899334e-05,257.9033,GFLOP/s
poly32,4194304,28,4096,400,7.465714e-04,3.009794e-05,359.5576,GFLOP/s
poly32,4194304,28,16384,400,7.422779e-04,5.931674e-05,361.6374,GFLOP/s
poly32,4194304,28,65536,353,8.521635e-04,2.827512e-05,315.0047,GFLOP/s
poly32,4194304,28,262144,294,1.021998e-03,6.330501e-05,262.6576,GFLOP/s
poly32,16777216,16,0,40,7.625564e-03,3.068228e-04,140.8082,GFLOP/s
poly32,16777216,16,4096,59,5.142858e-03,1.362145e-04,208.7831,GFLOP/s
poly32,16777216,16,16384,62,4.901414e-03,7.381500e-05,219.0678,GFLOP/s
poly32,16777216,16,65536,59,5.133254e-03,1.445983e-04,209.1737,GFLOP/s
poly32,16777216,16,262144,60,5.005608e-03,1.566501e-04,214.5078,GFLOP/s
poly32,16777216,28,0,50,6.012236e-03,6.833647e-05,178.5928,GFLOP/s
poly32,16777216,28,4096,53,5.696130e-03,1.329882e-04,188.5037,GFLOP/s
poly32,16777216,28,16384,55,5.515371e-03,1.055847e-04,194.6817,GFLOP/s
poly32,16777216,28,65536,53,5.702731e-03,1.764328e-04,188.2856,GFLOP/s
poly32,16777216,28,262144,50,6.021512e-03,2.150262e-04,178.3176,GFLOP/s
poly32,67108864,16,0,11,2.772963e-02,2.899751e-03,154.8873,GFLOP/s
poly32,67108864,16,4096,15,2.049173e-02,1.483532e-04,209.5952,GFLOP/s
poly32,67108864,16,16384,16,1.958442e-02,1.135099e-04,219.3053,GFLOP/s
poly32,67108864,16,65536,16,1.971863e-02,2.700073e-04,217.8126,GFLOP/s
poly32,67108864,16,262144,15,2.045652e-02,4.452777e-04,209.9559,GFLOP/s
poly32,67108864,28,0,13,2.440012e-02,7.359276e-04,176.0224,GFLOP/s
poly32,67108864,28,4096,13,2.309141e-02,3.238463e-04,185.9985,GFLOP/s
poly32,67108864,28,16384,14,2.221812e-02,1.312641e-04,193.3092,GFLOP/s
poly32,67108864,28,65536,14,2.205459e-02,3.042489e-04,194.7426,GFLOP/s
poly32,67108864,28,262144,14,2.266842e-02,5.212781e-04,189.4692,GFLOP/s
poly96,262144,16,0,400,4.863038e-04,3.649783e-05,103.4984,GFLOP/s
poly96,262144,16,4096,400,2.553747e-04,4.965700e-06,197.0894,GFLOP/s
poly96,262144,16,16384,400,4.808423e-04,2.194812e-05,104.6739,GFLOP/s
poly96,262144,16,65536,400,4.816971e-04,2.533527e-05,104.4882,GFLOP/s
poly96,262144,16,262144,400,4.797652e-04,2.490947e-05,104.9089,GFLOP/s
poly96,262144,28,0,400,3.006536e-04,1.751447e-05,167.4074,GFLOP/s
poly96,262144,28,4096,400,2.424319e-04,2.965819e-05,207.6115,GFLOP/s
poly96,262144,28,16384,400,2.992167e-04,2.002639e-05,168.2114,GFLOP/s
poly96,262144,28,65536,400,2.985356e-04,1.203488e-05,168.5951,GFLOP/s
poly96,262144,28,262144,400,2.988496e-04,1.241126e-05,168.4180,GFLOP/s
poly96,1048576,16,0,150,2.004019e-03,7.697919e-05,100.4614,GFLOP/s
poly96,1048576,16,4096,378,7.952045e-04,5.679538e-05,253.1759,GFLOP/s
poly96,1048576,16,16384,311,9.648143e-04,2.361683e-05,208.6687,GFLOP/s
poly96,1048576,16,65536,155,1.941395e-03,1.655435e-04,103.7020,GFLOP/s
poly96,1048576,16,262144,193,1.554862e-03,5.723215e-04,129.4819,GFLOP/s
poly96,1048576,28,0,256,1.175998e-03,1.003661e-04,171.1964,GFLOP/s
poly96,1048576,28,4096,400,6.749674e-04,6.038957e-05,298.2760,GFLOP/s
poly96,1048576,28,16384,336,8.946564e-04,1.431191e-04,225.0323,GFLOP/s
poly96,1048576,28,65536,272,1.103145e-03,2.073375e-05,182.5024,GFLOP/s
poly96,1048576,28,262144,273,1.100158e-03,2.013549e-05,182.9979,GFLOP/s
poly96,4194304,16,0,39,7.733577e-03,1.297878e-04,104.1312,GFLOP/s
poly96,4194304,16,4096,97,3.118299e-03,7.199537e-05,258.2518,GFLOP/s
poly96,4194304,16,16384,89,3.394951e-03,1.792708e-04,237.2071,GFLOP/s
poly96,4194304,16,65536,76,3.999603e-03,5.111805e-05,201.3466,GFLOP/s
poly96,4194304,16,262144,52,5.892528e-03,2.026334e-03,136.6657,GFLOP/s
poly96,4194304,28,0,65,4.672944e-03,2.291666e-04,172.3338,GFLOP/s
poly96,4194304,28,4096,120,2.503610e-03,1.030501e-04,321.6581,GFLOP/s
poly96,4194304,28,16384,104,2.893743e-03,1.711207e-04,278.2923,GFLOP/s
poly96,4194304,28,65536,100,3.000079e-03,6.947091e-04,268.4284,GFLOP/s
poly96,4194304,28,262144,65,4.630988e-03,1.511614e-04,173.8951,GFLOP/s
poly96,16777216,16,0,11,2.753629e-02,3.011144e-03,116.9811,GFLOP/s
poly96,16777216,16,4096,26,1.163874e-02,4.037221e-04,276.7676,GFLOP/s
poly96,16777216,16,16384,26,1.195659e-02,3.924661e-04,269.4101,GFLOP/s
