case,family,depth,dtype,fastmath,n,sweeps,semantic_updates,correct,correct_max_abs_error,symbol,function_address,function_address_mod64,candidate_blocks,selected_block,selected_instructions,selected_work_score,comparison_status,mca_llvm_major,compiler_llvm_major,mca_block_rthroughput,measured_cycles_per_branch,cycles_per_branch_mad,ipc,ipc_mad,branch_miss_rate,cycles_per_ref_cycle,running_fraction_min,wall_ms,mca_over_measured,mca_abs_pct_error
map-d1-f64-strict,map,1,f64,0,1024,489,500736,1,0.0,_ZN8__main__11make_kernel12_3clocals_3e6kernelB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedEdx,140348444372992,0,1,.LBB0_12,6,42,branch_misses_high,21,22,1.2,4.68787212358526,0.012873464571153015,2.8301810151494347,0.007793421492907626,0.010942444885479805,2.504694264069264,1.0,0.032215,0.2559796787038308,74.40203212961691
map-d16-f64-fast,map,16,f64,1,1024,31,507904,1,3.0531133177191805e-16,_ZN8__main__11make_kernel12_3clocals_3e6kernelB2v2B60c8tJTIeFIjxB2IKSgI4CrvQClYb5wBbdC9XqICn1Wk1gKBZBVGsCAA_3d_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedEdx,140348444217344,0,0,,,,no_self_loop,21,22,,6.434941156969998,0.36238725978923547,2.4966385039410643,0.1501424068256454,0.006464445549477871,2.5074761827870176,1.0,0.013727,,
map-d8-f32-fast,map,8,f32,1,1024,62,507904,1,1.1920928955078125e-07,_ZN8__main__11make_kernel12_3clocals_3e6kernelB2v3B60c8tJTIeFIjxB2IKSgI4CrvQClYb5wBbdC9XqICn1Wk1gKBZBVGsCAA_3d_3dE5ArrayIfLi1E1C7mutable7alignedE5ArrayIfLi1E1C7mutable7alignedEfx,140348443201536,0,0,,,,no_self_loop,21,22,,3.2636558078315234,0.03419078725539171,3.2953141935321253,0.03622665972237282,0.006666666666666667,2.5032216905901117,1.0,0.006608,,
reduction-d4-f64-strict,reduction,4,f64,0,1024,123,503808,1,0.0,_ZN8__main__11make_kernel12_3clocals_3e6kernelB2v4B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedEdx,140348443193344,0,0,,,,no_self_loop,21,22,,98.46803532131814,0.0025036672833635976,0.35303448127587056,0.00010105733756660129,0.004596228307195187,2.504274031238484,1.0,0.668676,,
reduction-d16-f64-fast,reduction,16,f64,1,1024,31,507904,1,2.0816681711721685e-16,_ZN8__main__11make_kernel12_3clocals_3e6kernelB2v5B60c8tJTIeFIjxB2IKSgI4CrvQClYb5wBbdC9XqICn1Wk1gKBZBVGsCAA_3d_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedEdx,140348443185152,0,0,,,,no_self_loop,21,22,,101.81945276612743,0.04347340568907043,0.29737107942174534,8.128481092356532e-05,0.0030956660675054925,2.5041936315744233,1.0,0.384878,,
gather-d4-f64-fast,gather,4,f64,1,1024,123,503808,1,8.326672684688674e-17,_ZN8__main__11make_kernel12_3clocals_3e6kernelB2v6B60c8tJTIeFIjxB2IKSgI4CrvQClYb5wBbdC9XqICn1Wk1gKBZBVGsCAA_3d_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIxLi1E1C7mutable7alignedEdx,140348443176960,0,0,,,,no_self_loop,21,22,,7.276715971414326,0.0010191797037926165,5.712482489798404,0.002005589437265698,0.004737629522912396,2.5050939616521988,1.0,0.048742,,
