chain,accs,dtype,n,time_ms,time_std_ms,gflops,packed_fma,scalar_fma,simd_regs,asm_lines,ipc,ginsn,flops_ratio,wrong_prec_frac,multiplexed
96,1,float64,4194304,27.269,0.012,29.53,96,96,8,432,0.743,0.1073,1.0,0.0,0
112,1,float64,4194304,132.171,0.134,7.11,0,16,5,234,0.799,0.559,1.0,0.0,0
64,2,float32,4194304,5.091,0.054,105.46,64,64,20,399,1.366,0.0379,0.9923,0.0,0
