chain,accs,dtype,n,time_ms,time_std_ms,gflops,packed_fma,scalar_fma,simd_regs,asm_lines,ipc,ginsn,flops_ratio,wrong_prec_frac,multiplexed
160,2,float32,4194304,145.344,0.103,9.23,0,20,10,253,1.021,0.7856,1.0031,0.0,0
8,4,float32,4194304,1.22,0.157,54.99,8,24,32,384,1.331,0.0106,1.0,0.0,0
16,4,float32,4194304,1.339,0.118,100.2,16,16,32,371,1.7,0.0148,1.0,0.0,0
32,4,float32,4194304,2.084,0.057,128.83,32,32,32,397,1.924,0.0232,1.0,0.0,0
48,4,float32,4194304,2.967,0.052,135.69,48,48,32,428,1.927,0.0316,1.0,0.0,0
64,4,float32,4194304,3.865,0.291,138.91,64,64,32,465,1.813,0.04,1.0,0.0,0
80,4,float32,4194304,5.202,0.043,129.0,80,80,32,497,1.721,0.0484,1.0,0.0,0
96,4,float32,4194304,6.626,0.029,121.54,96,96,32,529,1.592,0.0568,1.0,0.0,0
104,4,float32,4194304,7.433,0.041,117.37,104,104,32,545,1.528,0.061,1.0,0.0,0
112,4,float32,4194304,8.314,0.06,113.0,112,112,32,561,1.455,0.0652,1.0,0.0,0
128,4,float32,4194304,10.024,0.095,107.12,128,128,32,593,1.364,0.0736,1.0,0.0,0
160,4,float32,4194304,85.23,0.212,15.75,0,20,17,287,1.866,0.8439,1.0093,0.0,0
