kernel,site,ms,std
saxpy,executionengine:get_global_value_address<-codegen:wrapper,0.0,0.0
saxpy,module:functions<-codegen:_get_module_for_linking,0.0,0.0
saxpy,executionengine:__init__<-executionengine:set_object_cache,0.0,0.0
saxpy,module:_dispose<-codegen:_get_module_for_linking,0.0,0.0
saxpy,executionengine:set_object_cache<-codegen:wrapper,0.0,0.0
saxpy,executionengine:target_data<-codegen:_init,0.0,0.0
saxpy,module:global_variables<-codegen:_init,0.0,0.0
saxpy,module:_dispose<-codegen:_init,0.0,0.0
saxpy,targets:name<-codegen:_customize_tm_options,0.0,0.0
saxpy,initfini:initialize_native_asmprinter<-codegen:initialize_llvm,0.0,0.0
saxpy,TOTAL_holds,42.22,0.16
saxpy,RECORDED_pass_timings,28.06,0.09
prange,executionengine:finalize_object<-codegen:wrapper,38.25,0.31
prange,newpassmanagers:run<-codegen:_optimize_final_module,35.56,0.28
prange,newpassmanagers:run<-codegen:_optimize_functions,15.61,0.16
prange,newpassmanagers:finish_pass_timing<-llvm_pass_timings:__exit__,4.24,0.04
prange,module:parse_assembly<-codegen:add_ir_module,2.54,0.04
prange,newpassmanagers:getFunctionPassManager<-codegen:_function_pass_manager,1.89,0.02
prange,module:_next<-module:__next__,1.49,0.01
prange,newpassmanagers:_dispose<-codegen:_optimize_functions,1.16,0.01
prange,newpassmanagers:report_and_reset_timings<-llvm_pass_timings:__exit__,1.14,0.04
prange,linker:link_modules<-module:link_in,0.98,0.03
prange,module:clone<-module:link_in,0.59,0.01
prange,newpassmanagers:__init__<-newpassmanagers:create_pass_builder,0.58,0.01
prange,dylib:add_symbol<-base:_load_global_helpers,0.58,0.03
prange,module:verify<-codegen:add_ir_module,0.52,0.01
prange,newpassmanagers:add_refprune_pass<-codegen:_function_pass_manager,0.44,0.0
prange,newpassmanagers:slp_vectorization<-llvm_bindings:create_pass_builder,0.42,0.01
prange,newpassmanagers:start_pass_timing<-llvm_pass_timings:__enter__,0.4,0.0
prange,newpassmanagers:__init__<-newpassmanagers:start_pass_timing,0.39,0.0
prange,module:verify<-codegen:finalize,0.39,0.01
prange,newpassmanagers:loop_vectorization<-llvm_bindings:create_pass_builder,0.38,0.0
prange,value:name<-codegen:_optimize_functions,0.36,0.0
prange,newpassmanagers:__init__<-newpassmanagers:create_pipeline_tuning_options,0.36,0.0
prange,module:clone<-codegen:_get_module_for_linking,0.29,0.01
prange,value:is_declaration<-codegen:_load_defined_symbols,0.28,0.0
prange,newpassmanagers:getModulePassManager<-codegen:_module_pass_manager,0.23,0.01
prange,value:is_declaration<-codegen:_verify_declare_only_symbols,0.2,0.0
prange,value:is_declaration<-codegen:scan_defined_symbols,0.2,0.0
prange,newpassmanagers:_dispose<-codegen:finalize,0.2,0.0
