module,self_ms,self_std
numpy.lib._arraypad_impl,0.153,0.003
numba.core.unsafe.eh,0.152,0.003
numpy.lib._stride_tricks_impl,0.15,0.004
numpy.lib._twodim_base_impl,0.15,0.003
pprint,0.148,0.001
llvmlite.binding,0.147,0.001
numpy.__config__,0.146,0.002
email._policybase,0.146,0.004
_compat_pickle,0.145,0.003
ctypes._endian,0.144,0.003
importlib.resources._adapters,0.144,0.006
numpy.polynomial.hermite,0.144,0.01
token,0.143,0.007
_frozen_importlib_external,0.142,0.004
numpy.random._philox,0.142,0.004
warnings,0.14,0.003
numpy.matrixlib.defmatrix,0.139,0.002
numpy.polynomial.polynomial,0.139,0.003
numpy.lib._histograms_impl,0.138,0.001
numba.core.rewrites.static_getitem,0.138,0.002
numpy._core._exceptions,0.137,0.004
numba.core.types.function_type,0.137,0.005
numpy.random._bounded_integers,0.137,0.006
numba.core.tracing,0.136,0.005
numba.core.postproc,0.135,0.002
email._parseaddr,0.135,0.005
numba.np.ufunc_db,0.135,0.003
numba.np.ufunc.array_exprs,0.135,0.002
hashlib,0.134,0.005
codecs,0.133,0.005
numpy.lib._type_check_impl,0.133,0.004
importlib.resources.readers,0.132,0.002
numpy.random.bit_generator,0.132,0.126
numpy.linalg._umath_linalg,0.13,0.003
numba.core.types.iterators,0.13,0.003
numba.core.generators,0.13,0.003
numba.core.serialize,0.13,0.004
email._encoded_words,0.13,0.005
numba.np.ufunc._internal,0.13,0.003
posix,0.129,0.001
numpy._globals,0.129,0.002
importlib.metadata._collections,0.128,0.003
operator,0.127,0.002
numpy.polynomial.hermite_e,0.127,0.003
numba.cpython.unsafe.tuple,0.127,0.009
numpy._typing,0.126,0.003
numba.core.object_mode_passes,0.126,0.003
numpy._core._type_aliases,0.125,0.003
_io,0.124,0.001
numpy.polynomial.laguerre,0.124,0.001
re._constants,0.122,0.003
numba.core.funcdesc,0.122,0.003
_lzma,0.121,0.005
numpy.lib._format_impl,0.12,0.001
numba._helperlib,0.12,0.007
email.charset,0.12,0.003
numba.misc.appdirs,0.12,0.013
numpy.exceptions,0.119,0.004
numba.core.types.common,0.117,0.008
numpy.polynomial,0.117,0.002
types,0.115,0.003
numpy.random._pcg64,0.115,0.003
numpy._typing._nbit_base,0.114,0.006
numba.core.registry,0.114,0.001
numpy.lib._datasource,0.113,0.001
numpy._core.getlimits,0.112,0.002
llvmlite.binding.object_file,0.112,0.003
base64,0.112,0.003
hmac,0.111,0.001
numpy.lib.mixins,0.11,0.002
lzma,0.11,0.003
llvmlite.ir.module,0.11,0.001
numba.core.cpu_options,0.11,0.002
numpy._core.function_base,0.109,0.002
numpy.lib._utils_impl,0.109,0.001
_bz2,0.109,0.002
numpy._core._ufunc_config,0.108,0.007
bz2,0.107,0.002
numba.core.options,0.107,0.059
numpy.lib._scimath_impl,0.106,0.003
ntpath,0.105,0.005
numpy.random._pickle,0.104,0.001
numba.core.rewrites,0.102,0.003
numba.experimental.jitclass,0.102,0.003
itertools,0.101,0.003
numpy.random._mt19937,0.101,0.004
numba.core.datamodel.packer,0.101,0.003
numba.core.externals,0.101,0.003
numpy._core._methods,0.1,0.003
_socket,0.1,0.004
numba.core.typeconv.typeconv,0.099,0.003
llvmlite.ir,0.098,0.002
numba.experimental.jitclass.boxing,0.097,0.002
numpy._typing._nested_sequence,0.095,0.002
_compression,0.095,0.001
timeit,0.095,0.004
numba.np.ufunc,0.095,0.002
_weakrefset,0.094,0.003
datetime,0.093,0.009
llvmlite.ir.transforms,0.093,0.002
numba._dispatcher,0.093,0.001
numba.core.callwrapper,0.093,0.002
email.quoprimime,0.093,0.003
llvmlite.binding.context,0.092,0.002
numpy._core.umath,0.091,0.003
llvmlite.binding.config,0.091,0.001
numpy.lib._ufunclike_impl,0.089,0.002
importlib.resources,0.089,0.004
numpy.polynomial.polyutils,0.089,0.001
numpy._utils._inspect,0.088,0.003
llvmlite.ir._utils,0.088,0.003
numba.core.rewrites.registry,0.088,0.003
encodings.utf_8,0.087,0.002
json,0.087,0.001
